state,nuclear,coal,natural_gas,petroleum,hydro,renewable
Alabama,32.2,18.8,37.6,0.0,8.8,2.5
Alaska,0.0,13.7,41.0,14.9,27.7,3.3
Arizona,29.1,13.2,44.4,0.0,5.4,8.0
Arkansas,22.5,35.6,32.1,0.1,7.3,2.0
California,8.4,0.1,49.0,0.0,7.2,29.3
Colorado,0.0,41.6,25.5,0.0,2.8,28.7
Connecticut,39.0,0.6,55.6,0.2,0.7,4.0
Delaware,0.0,6.8,85.8,0.5,0.0,5.3
District of Columbia,0.0,0.0,62.5,0.0,0.0,37.5
Florida,11.5,7.5,73.9,0.5,0.1,6.5
Georgia,26.8,15.1,46.3,0.2,3.2,8.4
Hawaii,0.0,11.8,0.0,65.4,1.2,21.6
Idaho,0.0,0.1,26.0,0.0,51.0,22.9
Illinois,53.3,23.9,11.6,0.0,0.1,11.1
Indiana,0.0,57.7,29.5,0.1,0.3,12.4
Iowa,0.0,33.5,9.0,0.1,1.4,55.9
Kansas,15.1,34.2,5.1,0.2,0.1,45.3
Kentucky,0.0,70.7,21.0,0.1,7.5,0.7
Louisiana,17.6,8.0,64.8,4.0,1.2,4.4
Maine,0.0,0.6,24.7,0.4,27.1,47.2
Maryland,37.7,14.7,37.1,0.2,5.3,5.0
Massachusetts,0.0,0.0,76.9,0.4,2.0,20.7
Michigan,29.6,31.9,26.6,1.0,0.7,10.2
Minnesota,23.7,26.5,20.6,0.1,1.5,27.6
Mississippi,17.1,8.0,72.1,0.0,0.0,2.8
Missouri,5.5,74.4,8.7,0.2,2.4,8.8
Montana,0.0,43.2,2.0,1.8,40.0,12.9
Nebraska,17.8,49.2,4.1,0.1,3.3,25.5
Nevada,0.0,6.6,62.5,0.0,4.7,26.2
New Hampshire,56.5,1.6,25.6,0.4,6.7,9.3
New Jersey,45.8,1.7,47.8,0.1,0.0,5.3
New Mexico,0.0,35.5,28.4,0.1,0.5,35.6
New York,24.9,0.0,45.6,0.7,22.0,6.8
North Carolina,32.8,15.5,35.9,0.1,5.8,7.9
North Dakota,0.0,57.1,3.4,0.1,5.2,34.2
Ohio,14.2,37.1,43.9,0.8,0.3,3.6
Oklahoma,0.0,14.0,40.8,0.0,3.3,41.5
Oregon,0.0,0.0,33.3,0.0,46.4,19.9
Pennsylvania,31.4,12.1,52.7,0.1,0.8,2.1
Rhode Island,0.0,0.0,90.9,0.1,0.1,8.9
South Carolina,53.8,15.2,23.3,0.1,3.0,4.6
South Dakota,0.0,9.2,8.7,0.1,29.7,52.3
Tennessee,43.4,22.4,17.8,0.1,15.1,1.2
Texas,8.3,18.4,48.6,0.0,0.2,24.5
Utah,0.0,61.8,24.7,0.1,1.8,11.6
Vermont,0.0,0.0,0.1,0.2,50.0,49.7
Virginia,30.3,3.3,57.4,0.3,0.8,8.0
Washington,7.8,2.9,14.4,0.0,64.6,10.3
West Virginia,0.0,90.8,4.1,0.3,2.3,2.4
Wisconsin,15.2,41.9,33.9,0.3,3.8,5.0
Wyoming,0.0,73.3,3.5,0.1,2.3,20.8